['that', 'have'], 2882
['be', 'not'], 2881
['of', 'his'], 2875
['he', 'was'], 2874
['9', '7'], 2871
['the', 'game'], 2870
['ve', '’'], 2864
['Additionally', '.'], 2858
['the', '’'], 2852
['the', 'end'], 2852
['It', '’'], 2845
['the', 'potential'], 2842
['on', ''], 2836
['is', 'expected'], 2822
['the', 'new'], 2819
['he', '.'], 2818
['ing', ','], 2817
['important', "'"], 2816
['in', '-'], 2816
['be', 'able'], 2802
['you', 'have'], 2796
['you', '.'], 2795
['In', '.'], 2794
['for', ''], 2790
['\n', 'A'], 2789
['ing', 'and'], 2787
['to', 'ability'], 2786
['said', ',”'], 2779
['the', 'time'], 2777
['and', 'was'], 2761
['to', 'lead'], 2760
['his', ','], 2754
['-', '7'], 2748
['the', 'during'], 2747
['have', 'they'], 2745
['com', '/'], 2745
['s', '-'], 2744
['you', 'that'], 2743
['on', 'impact'], 2741
['of', 'out'], 2733
['on', 'focus'], 2724
['\n', '4'], 2722
['has', '.'], 2721
['the', 'said'], 2712
['on', 'based'], 2704
['the', 'but'], 2704
['that', 'there'], 2701
['for', 'his'], 2689
['\n', 'said'], 2687
['New', 'York'], 2679
['to', 'people'], 2678
['are', '.'], 2664
['like', 'sounds'], 2662
['9', '5'], 2659
['in', 's'], 2656
['the', 'use'], 2651
['9', '4'], 2642
['is', 'this'], 2642
['where', ','], 2631
[',', '-'], 2628
['and', 'have'], 2618
['had', 'been'], 2615
['years', '.'], 2610
['the', 'between'], 2605
['from', ''], 2597
['and', "'"], 2595
['of', 'this'], 2591
['\n', 'If'], 2584
['think', 'I'], 2572
['the', 'be'], 2570
['4', '5'], 2560
['in', 'this'], 2558
['that', 'was'], 2558
['the', 'past'], 2558
['years', ','], 2553
['so', ','], 2547
['$', '2'], 2546
['a', 'it'], 2541
['to', 'will'], 2535
['\n', 'the'], 2526
['With', '.'], 2525
['well', '-'], 2523
['I', 'that'], 2520
['5', '7'], 2513
['and', 'with'], 2508
['their', ','], 2508
['it', 'has'], 2507
['the', 'including'], 2506
['have', ','], 2497
['to', 'was'], 2493
['a', 'from'], 2491
['-', '8'], 2489
['to', 'an'], 2486
['who', 'those'], 2479
['have', 'who'], 2475
['and', 'on'], 2474
['with', ''], 2471
['the', 'against'], 2468
['U', 'S'], 2464
['', ':'], 2463
['to', 'used'], 2460
['to', 'remember'], 2448
['I', '"'], 2446
['the', 'not'], 2444
['I', 'm'], 2443
['to', 'come'], 2442
['It', '’'], 2442
['them', '.'], 2441
['for', 'its'], 2437
['1', ':'], 2433
['year', '.'], 2423
['\n', ''], 2420
['of', 's'], 2413
['a', 'make'], 2404
['in', 'his'], 2403
['and', 'be'], 2402
['\n', '5'], 2402
['the', 'US'], 2398
['he', 'has'], 2387
['to', 'likely'], 2386
['and', 'her'], 2383
['"', 'I'], 2383
['the', 'right'], 2382
['have', 'will'], 2381
['not', ','], 2373
['to', 'go'], 2364
['in', 'be'], 2357
['\n', 'S'], 2356
['a', 'create'], 2353
['9', '6'], 2353
['well', ','], 2352
['You', '.'], 2352
['to', 'this'], 2350
['to', 'has'], 2349
['their', 'own'], 2346
['of', 'range'], 2345
['3', '9'], 2338
['3', '4'], 2334
['don', "'"], 2333
['::', '::'], 2331
['that', 'also'], 2317
['the', 'region'], 2313
['world', '.'], 2310
['\n', 'But'], 2305
['3', '7'], 2303
['to', 'your'], 2299
['The', 'company'], 2296
['\n', 'M'], 2296
['has', 'who'], 2291
['on', 'their'], 2277
['and', 'support'], 2275
['\n', '#'], 2273
['not', 'may'], 2269
['As', '.'], 2259
['of', 'variety'], 2252
['to', 'of'], 2250
['and', '0'], 2248
['Source', ':'], 2241
['the', 'next'], 2240
['"', 's'], 2240
['We', '"'], 2235
['we', 'can'], 2235
['\n', 'all'], 2232
['\n', 'is'], 2232
['that', '’'], 2230
['also', '.'], 2227
['The', ':'], 2226
['you', 'If'], 2222
['the', 'public'], 2220
['in', 'place'], 2214
['is', 'he'], 2212
['a', 'very'], 2208
['Over', ','], 2203
['she', 'said'], 2199
['a', 'like'], 2198
['not', 'just'], 2194
['a', 'or'], 2194
['can', 'help'], 2194
['<s>', "'"], 2193
['we', "'"], 2192
['the', 'out'], 2191
['to', 'been'], 2190
['and', 'how'], 2189
['in', '1'], 2187
['\n', '-'], 2187
['to', 'out'], 2185
['high', '-'], 2182
['$', '5'], 2177
['are', 'also'], 2176
['the', 'one'], 2175
['in', 'was'], 2174
['the', 'also'], 2172
['the', 'need'], 2171
['3', '6'], 2168
['and', '1'], 2167
['that', 'remember'], 2165
['The', 'has'], 2162
['Overall', ','], 2156
['??', '??'], 2156
['<s>', 'This'], 2138
['be', 'used'], 2136
['will', 'continue'], 2136
['it', 'make'], 2133
['the', 'two'], 2129
['that', 'fact'], 2129
['<s>', 'is'], 2126
['ese', 'ese'], 2125
['of', 'these'], 2122
['a', 'variety'], 2121
['the', 'market'], 2117
['don', 't'], 2110
['and', 'work'], 2106
['have', 'may'], 2106
['was', 'He'], 2101
['\n', 'B'], 2098
['-', '9'], 2098
['other', ','], 2097
['to', 'improve'], 2097
['.', '-'], 2092
['the', 'issue'], 2088
['in', 'its'], 2084
['the', 'support'], 2081
['5', '8'], 2079
['the', 'industry'], 2078
['and', 'not'], 2077
['also', 'important'], 2075
['ll', "'"], 2074
['ing', '.'], 2073
['says', '.'], 2067
['to', 'her'], 2066
['you', 'are'], 2064
['the', 'around'], 2062
['to', 'protect'], 2057
['the', 'or'], 2052
['of', 'that'], 2050
['that', 'clear'], 2050
