['to', 'is', 'likely'], 456
['\n', 'The', '“'], 455
['the', 'in', 'first'], 454
['the', 'to', 'addition'], 453
['but', 'also', ','], 453
['re', 'we', '’'], 451
['', '0', '8'], 450
['$', '.', '1'], 449
['\n', 'is', 'This'], 448
['to', 'on', 'focus'], 448
['', '-', '1'], 447
['               ', '               ', '               '], 447
['a', 'is', 'significant'], 446
['The', 'government', '.'], 446
['a', 'of', 'sense'], 445
['to', 'with', 'work'], 444
['I', 'it', 'think'], 443
['Source', 'https', ':'], 442
['since', '', '2'], 442
['can', 'You', '.'], 442
['from', '', '1'], 441
['is', 'that', 'there'], 440
['the', 'of', 'member'], 440
['0', '1', ':'], 440
['-', '2', '5'], 439
[',', '1', '7'], 439
['', '.', '5'], 439
['news', '/', '/'], 439
['clear', 's', "'"], 438
['the', 'world', ','], 437
['he', 'says', '.'], 437
['which', 'could', ','], 436
['that', 'has', 'been'], 435
['1', '/', '9'], 435
['I', 've', '’'], 433
['the', 'of', 'state'], 432
['a', 'great', 's'], 431
['p', '.', '0'], 431
['://', 'www', 'https'], 431
[',', '1', '4'], 428
['to', 'In', 'addition'], 426
['team', 's', "'"], 426
['is', 'who', ','], 426
['', '0', '6'], 425
['re', 'they', '’'], 425
['-', '1', '9'], 425
['the', 'region', '.'], 424
['\n', 'them', '.'], 423
['a', 'is', 'it'], 421
['to', 'be', 'interesting'], 421
['government', 's', "'"], 421
['of', 'is', 'one'], 420
['the', 'of', 'power'], 420
['to', 'will', 'need'], 420
['to', 'looking', 'forward'], 418
['', '1', ':'], 418
['The', 'event', '.'], 417
['\n', 'world', '.'], 417
['The', 'also', 'article'], 416
['the', 'time', 'first'], 416
['to', 'it', 'make'], 416
['“', 'We', '.'], 415
['and', 'that', 'it'], 415
['the', 'While', '.'], 415
['to', 'was', 'able'], 415
['to', 'is', 'designed'], 413
[',', '1', '1'], 413
['\n', 'think', 'I'], 413
['a', 'is', 'which'], 412
['that', 'are', 'there'], 410
['We', '.', "'"], 410
['be', 'can', 'used'], 409
['\n', 'We', '.'], 409
['\n', '.', 'C'], 409
['the', 'to', 'support'], 409
['of', '-', '-'], 408
['the', 'to', 'ament'], 408
['\n', 'year', '.'], 408
['to', 'not', 'going'], 408
['a', '', '3'], 407
['the', 'of', 'out'], 406
['<s>', 'That', "'"], 406
['important', 's', '’'], 406
['.', '2', '3'], 406
['has', 'who', 'been'], 405
[',', '1', '9'], 405
[',', '0', '8'], 405
['well', 'being', '-'], 404
['is', 'there', ','], 403
['the', 'of', 'safety'], 403
['to', 'is', 'set'], 402
['ally', 'Fin', ','], 402
['the', 'as', 'well'], 402
['\n', 'So', '.'], 401
['and', 'his', ','], 401
['a', 'is', ','], 401
['and', '-', '-'], 401
['it', 'While', '.'], 400
['have', 'We', '.'], 400
['<s>', 'In', 'summary'], 400
['In', 'summary', ','], 400
['', '0', '7'], 399
['It', '’', '“'], 399
['also', 'worth', 'noting'], 398
['a', 'like', 'sounds'], 398
['\n', 'ally', 'Fin'], 398
['for', 'who', 'those'], 397
['the', 'country', "'"], 397
['a', 'impact', 'significant'], 396
['you', 'have', 'any'], 396
['"', 's', 's'], 396
['be', 'that', 'can'], 395
['decision', 's', "'"], 395
['"', '"', 's'], 395
['the', 'on', 'based'], 394
['://', 'www', 'http'], 394
['\n', '\n', 'This'], 394
['the', 'to', 'make'], 393
['I', 'that', 'think'], 393
['es', 'discuss', 'article'], 392
['For', 'example', ','], 392
['The', 'film', '.'], 391
['a', 'as', 'seen'], 390
['re', 'not', "'"], 390
['.', '9', '9'], 390
['a', '.', '0'], 389
['-', '2', '3'], 389
['\n', '\n', '"'], 389
['', '.', '4'], 388
['and', 's', ','], 388
['It', "'", '!'], 388
['didn', 't', "'"], 387
['For', 'example', '.'], 387
['a', 'is', 'This'], 386
['to', 'According', '.'], 385
[',', '2', '5'], 384
['“', 'It', '.'], 384
['on', 'impact', 'significant'], 383
['the', 'other', 'hand'], 383
['the', 'company', ','], 382
['the', 'as', ','], 382
['will', 'This', '.'], 381
['\n', '\n', 'As'], 380
['can', 't', '’'], 380
['other', 'hand', ','], 379
['has', 'It', '.'], 379
['can', 'This', '.'], 378
['the', 'of', 'idea'], 378
['The', 'team', '.'], 378
['\n', 'years', '.'], 377
['a', 'be', 'could'], 377
['what', 's', "'"], 377
['by', '', '2'], 377
['to', 'take', 'action'], 377
['to', 'have', 'will'], 376
['the', 'about', 'information'], 375
['-', '2', '4'], 374
['the', 'to', 'ability'], 374
['the', 'of', 'success'], 374
['<s>', 'you', 'Thank'], 373
['and', 'it', '’'], 373
['\n', '0', '1'], 373
['\n', '.', 'G'], 372
['it', 'will', ','], 372
['The', 'U', '.'], 372
['are', 'There', '.'], 371
['re', 'going', "'"], 371
['to', 'going', 's'], 370
['a', 'of', 'series'], 370
['to', 'they', 'need'], 369
['', '4', '5'], 369
['is', 'that', 'he'], 368
['is', 'for', 'known'], 368
['a', 'of', 'group'], 368
['the', 'of', 'best'], 368
['\n', '---', '---'], 367
['the', 'in', 'coming'], 366
['with', '', '1'], 366
['\n', '.', 'D'], 365
['.', '2', '4'], 365
['to', 'decision', 's'], 365
['He', 'said', '.'], 364
['have', 'who', 'been'], 364
['the', 'in', 'role'], 364
['\n', 'of', 'One'], 363
['that', 'able', 'understand'], 363
['No', '', '.'], 363
['\n', 'However', '.'], 362
['.', '0', '7'], 362
['I', 've', "'"], 361
['a', 'way', 'great'], 361
['years', 'recent', ','], 361
['0', '2', '5'], 360
['the', 'of', 'top'], 360
['\n', 'Mr', '.'], 360
['re', 'We', '’'], 359
['it', 'think', 'I'], 359
['', '.', '6'], 359
['in', '-', '-'], 358
['the', 'of', 'face'], 358
[',', '0', '6'], 358
['.', '3', '5'], 358
['she', 'said', ',"'], 358
['he', 'said', ','], 357
['it', 'think', "'"], 357
['for', '', '1'], 357
['to', 'up', ''], 356
['the', 'of', 'One'], 356
['to', 'be', 'have'], 356
['it', 'think', '’'], 356
['the', 'in', 'second'], 355
['to', 'about', 'hear'], 354
[',', '0', '4'], 354
['United', 'States', '.'], 353
[',', '0', '7'], 353
['a', 'of', 'member'], 353
['', '3', '6'], 352
['of', 'range', 'wide'], 351
['\n', 'And', '.'], 351
['\n', 'says', '.'], 351
['to', 'has', 'led'], 351
['We', 'need', '.'], 350
['also', 's', '’'], 350
['was', 'She', '.'], 350
['the', 'community', 'international'], 348
['city', 's', "'"], 348
['the', '-', '-'], 348
['and', 'is', ','], 346
['be', 'will', 'interesting'], 346
['We', '"', "'"], 346
['been', 's', "'"], 346
['has', 'which', 'been'], 346
['are', 'which', ','], 345
['a', 'to', 'take'], 344
['there', 's', "'"], 344
['the', 'With', '.'], 344
['\n', 'for', 'As'], 344
['to', 'be', 'more'], 344
['could', 'This', '.'], 343
['the', 'to', 'potential'], 343
['Trump', 's', "'"], 343
['', 's', "'"], 343
['a', 'range', 'wide'], 342
['\n', 'other', 'An'], 342
['to', 'be', 'seen'], 342
['.', '0', '4'], 342
['and', 'that', 'ensure'], 341
['the', 's', "'"], 341
['the', 'of', 'aware'], 341
['\n', '\n', '  '], 341
['are', 'We', '.'], 340
['', '3', '4'], 340
['I', 'hope', '.'], 340
['\n', '\n', '.”'], 340
['a', 'to', 'build'], 340
['is', 'not', 'just'], 339
['to', 'do', 'so'], 339
['1', '9', '5'], 339
['a', 'to', 'chance'], 339
['\n', '\n', 'If'], 338
['to', 'be', 'designed'], 338
['the', 'end', ','], 338
['', '0', '9'], 337
['worth', 's', "'"], 336
['the', 'of', 'possibility'], 336
['\n', '.', '•'], 336
['the', 'to', 'be'], 335
['a', 'to', 'lead'], 334
['the', 'to', 'public'], 334
['the', 'for', 'potential'], 334
['\n', 'm', '.'], 334
['a', 'of', 'lack'], 333
['that', 'it', 'will'], 333
['the', 'of', 'story'], 333
['we', 'but', ','], 333
['possible', 's', "'"], 333
['a', 'it', 'was'], 333
['We', '’', '“'], 332
['also', 'They', '.'], 332
['in', 'of', 'terms'], 332
['be', 'will', 'able'], 331
['we', 'can', ','], 331
['\n', '.\r', '\r'], 331
['is', 'no', 'there'], 330
['and', 'I', "'"], 330
['ve', 'been', "'"], 330
['of', '', '3'], 329
['the', 'of', 'quality'], 329
['the', 'to', 'access'], 329
['have', 't', "'"], 328
['the', 'of', 'lives'], 328
['in', 'to', 'invest'], 328
['"', 'says', '.'], 328
['and', 'that', 'they'], 327
['', '-', '6'], 327
['to', 'could', 'lead'], 326
['also', 'worth', 's'], 326
['the', 'Overall', ','], 326
['is', 'It', 'important'], 326
['-', '2', '2'], 324
['that', 'make', 'sure'], 324
['We', '.', '’'], 324
['\n', 'future', '.'], 323
['the', 'in', 'U'], 323
['the', 'in', 'involved'], 323
['the', 'of', 'reminder'], 323
['of', 'been', 'accused'], 323
['in', 'New', 'York'], 322
['the', 'that', 'clear'], 322
['that', 'It', 'seems'], 322
['the', 'article', ','], 321
['than', 'rather', ','], 321
['.', '0', '8'], 321
['to', 'have', 'access'], 321
['it', 'But', '.'], 321
['of', 'regardless', ','], 320
['\n', 'time', '.'], 320
['it', 'seems', ','], 320
['-', '0', '5'], 320
['.', '2', '7'], 320
['"', 'We', "'"], 319
['that', 'possible', 's'], 319
['the', 'in', 'face'], 319
['be', 'will', 'held'], 318
['has', 'been', 'working'], 318
['as', 'they', ','], 318
['a', 'with', ''], 318
['a', 'is', 'this'], 318
['re', 'looking', "'"], 317
['the', 'and', 'government'], 317
['to', 'were', 'able'], 317
['\n', '  ', '  '], 317
['a', 'great', 'opportunity'], 316
['\n', 'The', '*'], 316
[',', '0', '9'], 316
['for', 'his', 'known'], 314
['.', '2', '6'], 314
['He', 's', "'"], 314
['the', 'to', 'right'], 312
['the', 'that', 'noting'], 311
['to', 'We', 'need'], 311
['that', 'ues', 'arg'], 311
['United', 'States', ','], 310
['for', '', '2'], 310
['the', 'of', 'benefits'], 309
['the', 'to', 'improve'], 309
['', ',', '0'], 309
['The', 's', '.'], 309
['the', 'of', 'country'], 308
['0', '/', '3'], 308
['the', 'that', 'company'], 307
['\n', '\n', 'S'], 307
['://', 'http', ':'], 307
['the', 'to', 'back'], 307
['to', 'want', 't'], 307
['the', 'in', 'city'], 307
['the', 'of', 'outcome'], 307
['the', 'of', 'city'], 307
['a', 'be', 'would'], 307
['a', 'of', 'result'], 306
['doesn', 't', '’'], 306
['and', 'their', ','], 306
['to', 'way', 'great'], 305
['to', '', '5'], 305
['', '5', '7'], 305
['The', 'new', '.'], 304
['the', 'that', 'believes'], 303
['not', 'about', 'just'], 303
['the', 'in', 'state'], 303
['\n', 'They', '.'], 303
['the', 'two', 'between'], 303
['a', 'is', 'test'], 301
['it', 'all', ','], 301
['\n', '://', 'https'], 301
['the', 'of', 'rights'], 301
['the', 'that', 'government'], 301
['to', 'be', 'sure'], 301
['that', 'he', 'was'], 300
['"', 'I', "'"], 300
['"', 'The', '.'], 300
['', '3', '7'], 299
['be', 'will', 'It'], 299
['the', 'for', 'important'], 299
['the', 'city', "'"], 299
